95;American-Style Lager
-1;
-1;
-1;
-1;
-1;
-1;
-1;
-1;
95;American-Style Lager
13;Old Ale
26;American-Style Pale Ale
25;Porter
-1;
-1;
95;American-Style Lager
-1;
-1;
-1;
-1;
-1;
55;South German-Style Weizenbock
70;Belgian-Style Fruit Lambic
0;
-1;
-1;
-1;
116;Light American Wheat Ale or Lager
-1;
-1;
26;American-Style Pale Ale
26;American-Style Pale Ale
32;Imperial or Double India Pale Ale
-1;
26;American-Style Pale Ale
42;American-Style Stout
26;American-Style Pale Ale
33;American-Style Amber/Red Ale
26;American-Style Pale Ale
50;South German-Style Hefeweizen
-1;
31;American-Style India Pale Ale
42;American-Style Stout
26;American-Style Pale Ale
50;South German-Style Hefeweizen
26;American-Style Pale Ale
90;Traditional German-Style Bock
42;American-Style Stout
42;American-Style Stout
5;Extra Special Bitter
-1;
90;Traditional German-Style Bock
65;Belgian-Style Pale Strong Ale
32;Imperial or Double India Pale Ale
84;German-Style Oktoberfest
70;Belgian-Style Fruit Lambic
67;Belgian-Style White
70;Belgian-Style Fruit Lambic
25;Porter
35;American-Style Barley Wine Ale
29;Dark American-Belgo-Style Ale
70;Belgian-Style Fruit Lambic
-1;
37;Golden or Blonde Ale
26;American-Style Pale Ale
96;American-Style Light Lager
57;German-Style Brown Ale/Altbier
25;Porter
31;American-Style India Pale Ale
95;American-Style Lager
61;Belgian-Style Tripel
35;American-Style Barley Wine Ale
32;Imperial or Double India Pale Ale
37;Golden or Blonde Ale
33;American-Style Amber/Red Ale
33;American-Style Amber/Red Ale
57;German-Style Brown Ale/Altbier
-1;
95;American-Style Lager
13;Old Ale
95;American-Style Lager
116;Light American Wheat Ale or Lager
31;American-Style India Pale Ale
95;American-Style Lager
95;American-Style Lager
96;American-Style Light Lager
-1;
35;American-Style Barley Wine Ale
37;Golden or Blonde Ale
116;Light American Wheat Ale or Lager
95;American-Style Lager
31;American-Style India Pale Ale
38;American-Style Brown Ale
-1;
5;Extra Special Bitter
22;Irish-Style Red Ale
72;Other Belgian-Style Ales
-1;
31;American-Style India Pale Ale
21;Oatmeal Stout
38;American-Style Brown Ale
32;Imperial or Double India Pale Ale
43;American-Style Imperial Stout
95;American-Style Lager
25;Porter
84;German-Style Oktoberfest
43;American-Style Imperial Stout
72;Other Belgian-Style Ales
72;Other Belgian-Style Ales
72;Other Belgian-Style Ales
42;American-Style Stout
25;Porter
67;Belgian-Style White
33;American-Style Amber/Red Ale
42;American-Style Stout
72;Other Belgian-Style Ales
95;American-Style Lager
20;Sweet Stout
33;American-Style Amber/Red Ale
42;American-Style Stout
3;Ordinary Bitter
38;American-Style Brown Ale
25;Porter
26;American-Style Pale Ale
33;American-Style Amber/Red Ale
95;American-Style Lager
37;Golden or Blonde Ale
95;American-Style Lager
25;Porter
1;Classic English-Style Pale Ale
74;French & Belgian-Style Saison
86;German-Style Schwarzbier
43;American-Style Imperial Stout
43;American-Style Imperial Stout
33;American-Style Amber/Red Ale
31;American-Style India Pale Ale
3;Ordinary Bitter
86;German-Style Schwarzbier
33;American-Style Amber/Red Ale
38;American-Style Brown Ale
31;American-Style India Pale Ale
22;Irish-Style Red Ale
-1;
74;French & Belgian-Style Saison
31;American-Style India Pale Ale
25;Porter
-1;
67;Belgian-Style White
42;American-Style Stout
35;American-Style Barley Wine Ale
121;Fruit Beer
121;Fruit Beer
67;Belgian-Style White
95;American-Style Lager
42;American-Style Stout
33;American-Style Amber/Red Ale
84;German-Style Oktoberfest
-1;
38;American-Style Brown Ale
26;American-Style Pale Ale
33;American-Style Amber/Red Ale
15;Scotch Ale
26;American-Style Pale Ale
42;American-Style Stout
38;American-Style Brown Ale
90;Traditional German-Style Bock
42;American-Style Stout
84;German-Style Oktoberfest
26;American-Style Pale Ale
95;American-Style Lager
42;American-Style Stout
25;Porter
31;American-Style India Pale Ale
-1;
-1;
90;Traditional German-Style Bock
42;American-Style Stout
25;Porter
33;American-Style Amber/Red Ale
-1;
32;Imperial or Double India Pale Ale
42;American-Style Stout
-1;
31;American-Style India Pale Ale
42;American-Style Stout
-1;
95;American-Style Lager
43;American-Style Imperial Stout
13;Old Ale
-1;
-1;
90;Traditional German-Style Bock
95;American-Style Lager
84;German-Style Oktoberfest
95;American-Style Lager
95;American-Style Lager
-1;
31;American-Style India Pale Ale
26;American-Style Pale Ale
-1;
38;American-Style Brown Ale
20;Sweet Stout
86;German-Style Schwarzbier
-1;
42;American-Style Stout
42;American-Style Stout
13;Old Ale
-1;
-1;
42;American-Style Stout
-1;
95;American-Style Lager
33;American-Style Amber/Red Ale
95;American-Style Lager
-1;
-1;
-1;
-1;
42;American-Style Stout
95;American-Style Lager
13;Old Ale
-1;
31;American-Style India Pale Ale
26;American-Style Pale Ale
-1;
25;Porter
13;Old Ale
-1;
33;American-Style Amber/Red Ale
-1;
95;American-Style Lager
-1;
-1;
42;American-Style Stout
-1;
-1;
-1;
13;Old Ale
95;American-Style Lager
26;American-Style Pale Ale
-1;
35;American-Style Barley Wine Ale
26;American-Style Pale Ale
50;South German-Style Hefeweizen
26;American-Style Pale Ale
25;Porter
2;English-Style India Pale Ale
90;Traditional German-Style Bock
42;American-Style Stout
-1;
-1;
-1;
86;German-Style Schwarzbier
95;American-Style Lager
96;American-Style Light Lager
26;American-Style Pale Ale
95;American-Style Lager
13;Old Ale
95;American-Style Lager
33;American-Style Amber/Red Ale
61;Belgian-Style Tripel
42;American-Style Stout
-1;
15;Scotch Ale
-1;
-1;
95;American-Style Lager
60;Belgian-Style Dubbel
26;American-Style Pale Ale
13;Old Ale
-1;
-1;
38;American-Style Brown Ale
-1;
33;American-Style Amber/Red Ale
-1;
-1;
95;American-Style Lager
-1;
-1;
43;American-Style Imperial Stout
86;German-Style Schwarzbier
37;Golden or Blonde Ale
-1;
-1;
50;South German-Style Hefeweizen
31;American-Style India Pale Ale
95;American-Style Lager
-1;
38;American-Style Brown Ale
-1;
33;American-Style Amber/Red Ale
26;American-Style Pale Ale
26;American-Style Pale Ale
-1;
65;Belgian-Style Pale Strong Ale
25;Porter
-1;
90;Traditional German-Style Bock
95;American-Style Lager
26;American-Style Pale Ale
90;Traditional German-Style Bock
55;South German-Style Weizenbock
-1;
-1;
-1;
60;Belgian-Style Dubbel
90;Traditional German-Style Bock
86;German-Style Schwarzbier
95;American-Style Lager
-1;
50;South German-Style Hefeweizen
-1;
95;American-Style Lager
-1;
42;American-Style Stout
33;American-Style Amber/Red Ale
95;American-Style Lager
95;American-Style Lager
31;American-Style India Pale Ale
-1;
42;American-Style Stout
25;Porter
25;Porter
42;American-Style Stout
38;American-Style Brown Ale
90;Traditional German-Style Bock
33;American-Style Amber/Red Ale
38;American-Style Brown Ale
33;American-Style Amber/Red Ale
-1;
92;German-Style Doppelbock
31;American-Style India Pale Ale
70;Belgian-Style Fruit Lambic
90;Traditional German-Style Bock
-1;
-1;
-1;
84;German-Style Oktoberfest
42;American-Style Stout
33;American-Style Amber/Red Ale
1;Classic English-Style Pale Ale
-1;
42;American-Style Stout
22;Irish-Style Red Ale
-1;
25;Porter
-1;
26;American-Style Pale Ale
95;American-Style Lager
38;American-Style Brown Ale
42;American-Style Stout
95;American-Style Lager
38;American-Style Brown Ale
-1;
21;Oatmeal Stout
90;Traditional German-Style Bock
90;Traditional German-Style Bock
-1;
26;American-Style Pale Ale
-1;
42;American-Style Stout
95;American-Style Lager
31;American-Style India Pale Ale
-1;
15;Scotch Ale
113;American-Style Cream Ale or Lager
95;American-Style Lager
90;Traditional German-Style Bock
95;American-Style Lager
42;American-Style Stout
70;Belgian-Style Fruit Lambic
-1;
84;German-Style Oktoberfest
26;American-Style Pale Ale
90;Traditional German-Style Bock
84;German-Style Oktoberfest
25;Porter
50;South German-Style Hefeweizen
95;American-Style Lager
42;American-Style Stout
25;Porter
-1;
-1;
-1;
26;American-Style Pale Ale
26;American-Style Pale Ale
-1;
38;American-Style Brown Ale
-1;
-1;
90;Traditional German-Style Bock
38;American-Style Brown Ale
95;American-Style Lager
38;American-Style Brown Ale
33;American-Style Amber/Red Ale
33;American-Style Amber/Red Ale
33;American-Style Amber/Red Ale
95;American-Style Lager
72;Other Belgian-Style Ales
95;American-Style Lager
-1;
-1;
-1;
42;American-Style Stout
42;American-Style Stout
-1;
-1;
-1;
26;American-Style Pale Ale
-1;
26;American-Style Pale Ale
-1;
-1;
32;Imperial or Double India Pale Ale
4;Special Bitter or Best Bitter
38;American-Style Brown Ale
31;American-Style India Pale Ale
55;South German-Style Weizenbock
77;German-Style Pilsener
26;American-Style Pale Ale
13;Old Ale
10;English-Style Pale Mild Ale
13;Old Ale
86;German-Style Schwarzbier
65;Belgian-Style Pale Strong Ale
15;Scotch Ale
31;American-Style India Pale Ale
33;American-Style Amber/Red Ale
20;Sweet Stout
22;Irish-Style Red Ale
-1;
26;American-Style Pale Ale
84;German-Style Oktoberfest
21;Oatmeal Stout
29;Dark American-Belgo-Style Ale
26;American-Style Pale Ale
50;South German-Style Hefeweizen
33;American-Style Amber/Red Ale
-1;
67;Belgian-Style White
121;Fruit Beer
96;American-Style Light Lager
25;Porter
90;Traditional German-Style Bock
95;American-Style Lager
95;American-Style Lager
31;American-Style India Pale Ale
-1;
29;Dark American-Belgo-Style Ale
31;American-Style India Pale Ale
31;American-Style India Pale Ale
121;Fruit Beer
50;South German-Style Hefeweizen
-1;
26;American-Style Pale Ale
95;American-Style Lager
90;Traditional German-Style Bock
38;American-Style Brown Ale
-1;
26;American-Style Pale Ale
-1;
15;Scotch Ale
33;American-Style Amber/Red Ale
55;South German-Style Weizenbock
-1;
-1;
15;Scotch Ale
35;American-Style Barley Wine Ale
26;American-Style Pale Ale
26;American-Style Pale Ale
31;American-Style India Pale Ale
-1;
42;American-Style Stout
95;American-Style Lager
-1;
-1;
-1;
95;American-Style Lager
42;American-Style Stout
38;American-Style Brown Ale
15;Scotch Ale
-1;
25;Porter
-1;
26;American-Style Pale Ale
50;South German-Style Hefeweizen
42;American-Style Stout
-1;
-1;
-1;
-1;
42;American-Style Stout
25;Porter
50;South German-Style Hefeweizen
95;American-Style Lager
-1;
42;American-Style Stout
-1;
32;Imperial or Double India Pale Ale
-1;
-1;
42;American-Style Stout
42;American-Style Stout
42;American-Style Stout
95;American-Style Lager
